,pos_key_pos,companyid_pb,pb_idx,method,score,src_file,rank,company_raw_pos,company_linkedin_url_pos,company_cleaned_pos,location_raw_pos,region_pos,country_pos,state_pos,metro_area_pos,weight_pos,rcid_pos,company_name_pos,ultimate_parent_rcid_pos,ultimate_parent_company_name_pos,onet_code_pos,onet_title_pos,ticker_pos,exchange_pos,cusip_pos,naics_code_pos,naics_description_pos,company_pos,linkedin_headquarters_pos,gvkey_pos,country_std_pos,state_std_pos,_first_name_raw_pos,company_norm_pos,linkedin_norm_pos,website_domain_pos,hqcountry_pb,hqstate_province_pb,country_std_pb,state_std_pb,companyname_pb,companyalsoknownas_pb,companylegalname_pb,companyformername_pb,file
10,individual_position_0126_part_01_with_company.parquet::10077,10010-89,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Premiere Home Health Care,linkedin.com/company/premiere-home-health-care,premiere home health care,"San Marcos, California, United States",Northern America,United States,California,san diego metropolitan area,1.3041921,1422575.0,Premiere Home Health Care,1422575.0,Premiere Home Health Care,29-2061.00,Licensed Practical and Licensed Vocational Nurses,,,,,,Premiere Home Health Care,,,United States,CA,premiere home health care,premiere home health care,http://linkedin.com/company/premiere-home-health-care,,United States,California,United States,CA,Broadcom (Acquired 2016),,Broadcom Corp.,,individual_position_0126_part_01_with_company.parquet
11,individual_position_0126_part_01_with_company.parquet::10085,56055-07,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Vyopta,,vyopta,"Sherman, TX",Northern America,United States,Texas,texas nonmetropolitan area,1.1303688,307827.0,"Vyopta, Inc.",307827.0,"Vyopta, Inc.",29-1141.01,Acute Care Nurses,,,,541511,Custom Computer Programming Services,"Vyopta, Inc.","Austin, Texas",,United States,TX,vyopta,vyopta,http://linkedin.com/company/vyopta,vyopta.com,United States,Texas,United States,TX,Vyopta,,"Vyopta, Inc.",,individual_position_0126_part_01_with_company.parquet
12,individual_position_0126_part_01_with_company.parquet::10106,97867-54,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,"Checkr, Inc.",linkedin.com/company/checkr-com,checkr inc,"San Francisco, California",Northern America,United States,California,san francisco metropolitan area,1.0152056,419667.0,"Checkr, Inc.",419667.0,"Checkr, Inc.",15-1252.00,Software Developers,,,,513210,Software Publishers,"Checkr, Inc.","San Francisco, California",,United States,CA,checkr inc,checkr,http://linkedin.com/company/checkr-com,checkr.com,United States,California,United States,CA,Checkr,,"Checkr, Inc.",Inside Sherpa,individual_position_0126_part_01_with_company.parquet
13,individual_position_0126_part_01_with_company.parquet::10119,56745-82,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,DOWELL SCHLUMBERGER,linkedin.com/company/dowell-schlumberger,dowell schlumberger,"Coatzacoalcos, Veracruz de Ignacio de la Llave, México",Central America and the Caribbean,Mexico,Veracruz,mexico nonmetropolitan area,1.2591604,750250.0,"Dowell/Schlumberger, Inc.",841741.0,Schlumberger NV,17-3031.00,Surveying and Mapping Technicians,,,,,,"Dowell/Schlumberger, Inc.","Houston, Texas",,Mexico,,dowell schlumberger,dowell schlumberger,http://linkedin.com/company/dowell-schlumberger,,Mexico,,Mexico,,Bandtastic,,Crowdfunding México S.A.P.I. de C.V.,,individual_position_0126_part_01_with_company.parquet
14,individual_position_0126_part_01_with_company.parquet::1014,55531-63,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Chewse,,chewse,"Los Angeles, CA",Northern America,United States,California,los angeles metropolitan area,1.1961406,526534.0,"Chewse, Inc.",437275.0,Sodexo SA,43-4171.00,Receptionists and Information Clerks,,,,517810,All Other Telecommunications,"Chewse, Inc.","San Francisco, CA",,United States,CA,chewse,chewse,http://linkedin.com/company/chewse,chewse.com,United States,California,United States,CA,Chewse,,,,individual_position_0126_part_01_with_company.parquet
15,individual_position_0126_part_01_with_company.parquet::10155,228151-63,133864.0,fuzzy,86.95652173913044,individual_position_0126_part_01_with_company.parquet,3,Empresa Correos de Chile,,empresa correos de chile,"Rancagua, Chile",Southern America,Chile,O'Higgins Region,chile nonmetropolitan area,1.2300351,1028156.0,Empresa de Correos de Chile,1028156.0,Empresa de Correos de Chile,11-2022.00,Sales Managers,,,,491110,Postal Service,Empresa de Correos de Chile,"Santiago, Región Metropolitana de Santiago",,Chile,,empresa correos de chile,empresa correos de chile,http://linkedin.com/company/correoschile,correos.cl,Chile,,Chile,,Corrales Chile,,Empresa Corrales Chile SpA,,individual_position_0126_part_01_with_company.parquet
16,individual_position_0126_part_01_with_company.parquet::10156,56941-84,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Banco Bamerindus do Brasil,,banco bamerindus do brasil,"São João de Meriti, Rio de Janeiro, Brazil",Southern America,Brazil,Rio de Janeiro,rio de janeiro metropolitan area,1.4582248,2243555.0,Banco Bamerindus,2243555.0,Banco Bamerindus,41-2012.00,Gambling Change Persons and Booth Cashiers,,,,,,Banco Bamerindus,"Curitiba , Pr",,Brazil,,banco bamerindus do brasil,banco bamerindus do brasil,http://linkedin.com/company/banco-bamerindus-do-brasil-sociedad-anonima,,Brazil,,Brazil,,Goshme Solucoes Para a Internet,GoshMe,Goshme Solucoes Para a Internet Ltd,,individual_position_0126_part_01_with_company.parquet
17,individual_position_0126_part_01_with_company.parquet::10173,10869-67,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,FTP-CMS,linkedin.com/company/ftp-cms,ftp cms,"Bucharest, Bucharest, Romania",Eastern Europe,Romania,Bucuresti,bucharest metropolitan area,1.2727906,3661707.0,Ftp Cms,3661707.0,Ftp Cms,11-1021.00,General and Operations Managers,,,,,,Ftp Cms,,,Romania,,ftp cms,ftp cms,http://linkedin.com/company/ftp-cms,,Romania,,Romania,,Artima,Artima Retail Investment Company,Artima Retail Investment Company S.A.,,individual_position_0126_part_01_with_company.parquet
18,individual_position_0126_part_01_with_company.parquet::10187,10559-08,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,"MCL Financial Group, Inc.",linkedin.com/company/mcl-financial-group-inc.,mcl financial group inc,Denver Metropolitan Area,Northern America,United States,Colorado,denver metropolitan area,1.015466,93133165.0,Mcl Financial Group,93133165.0,Mcl Financial Group,13-2052.00,Personal Financial Advisors,,,,,,Mcl Financial Group,,,United States,CO,mcl financial group inc,mcl financial group,http://linkedin.com/company/mcl-financial-group-inc.,,United States,Colorado,United States,CO,Sirenza Microdevices,Sirenza,Sirenza Microdevices Inc.,Stanford Microdevices,individual_position_0126_part_01_with_company.parquet
19,individual_position_0126_part_01_with_company.parquet::1022,56722-24,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Markham Roberts Inc,,markham roberts inc,"New York, New York, United States",Northern America,United States,New York,new york city metropolitan area,1.0469815,93140184.0,Markham Roberts,93140184.0,Markham Roberts,27-1025.00,Interior Designers,,,,,,Markham Roberts,"New York, New York",,United States,NY,markham roberts inc,markham roberts,http://linkedin.com/company/markham-roberts-inc,,United States,New York,United States,NY,Iptivia,,"Iptivia, Inc.",,individual_position_0126_part_01_with_company.parquet
20,individual_position_0126_part_01_with_company.parquet::10252,338544-91,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,PT Finnantara Intiga,linkedin.com/company/pt-finnantara-intiga,pt finnantara intiga,"Sintang, Daerah Tingkat I Kalimantan Barat, Indonesia",South-Eastern Asia,Indonesia,West Kalimantan,indonesia nonmetropolitan area,1.9399712,453232.0,PT Finnantara Intiga,397413.0,Stora Enso Oyj,43-6012.00,Legal Secretaries and Administrative Assistants,,,,322110,Pulp Mills,PT Finnantara Intiga,"Pontianak, West Kalimantan",,Indonesia,,pt finnantara intiga,pt finnantara intiga,http://linkedin.com/company/pt-finnantara-intiga,,Indonesia,,Indonesia,,Gw id,,,,individual_position_0126_part_01_with_company.parquet
21,individual_position_0126_part_01_with_company.parquet::10254,56747-62,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,HHPC,,hhpc,"Loughton, England, United Kingdom",Northern Europe,United Kingdom,England,cambridge metropolitan area,1.2615117,4005576.0,Hhpc,4005576.0,Hhpc,53-4041.00,Subway and Streetcar Operators,,,,,,Hhpc,,,United Kingdom,,hhpc,hhpc,http://linkedin.com/company/hhpc,,United Kingdom,England,United Kingdom,,City Invoice Finance,City Invoice,City Invoice Finance Limited,,individual_position_0126_part_01_with_company.parquet
22,individual_position_0126_part_01_with_company.parquet::10272,64868-86,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,"MOBILE DISTILLERY, SA",linkedin.com/company/mobile-distillery-sa,mobile distillery sa,"Soturac, Occitanie, France",Western Europe,France,Occitanie,france nonmetropolitan area,1.0909622,55033.0,Mobile Distillery SA,55033.0,Mobile Distillery SA,15-1252.00,Software Developers,,,,334610,Manufacturing and Reproducing Magnetic and Optical Media,Mobile Distillery SA,,,France,,mobile distillery sa,mobile distillery,http://linkedin.com/company/mobile-distillery-sa,mobile-distillery.com,France,,France,,Mobile Distillery,,Mobile Distillery S.A.,,individual_position_0126_part_01_with_company.parquet
23,individual_position_0126_part_01_with_company.parquet::10275,10010-89,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,CALIFORDABLE REALTY Inc.,,califordable realty inc,"Hawthorne, California",Northern America,United States,California,long beach metropolitan area,1.0316061,10058140.0,Califordable Realty,10058140.0,Califordable Realty,11-1011.00,Chief Executives,,,,,,Califordable Realty,"Hawthorne, California",,United States,CA,califordable realty inc,califordable realty,http://linkedin.com/company/califordable-realty-inc.,,United States,California,United States,CA,Broadcom (Acquired 2016),,Broadcom Corp.,,individual_position_0126_part_01_with_company.parquet
24,individual_position_0126_part_01_with_company.parquet::10292,56722-24,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,"Innovative Real Estate Solutions, LLC",linkedin.com/company/real-estate-innovative-solutions-llc,innovative real estate solutions llc,"Bronxville, New York, United States",Northern America,United States,New York,new york city metropolitan area,1.0129462,72452.0,Real Estate Innovative Solutions,72452.0,Real Estate Innovative Solutions,13-1161.01,Search Marketing Strategists,,,,,,Real Estate Innovative Solutions,,,United States,NY,innovative real estate solutions llc,innovative real estate solutions,http://linkedin.com/company/real-estate-innovative-solutions-llc,,United States,New York,United States,NY,Iptivia,,"Iptivia, Inc.",,individual_position_0126_part_01_with_company.parquet
25,individual_position_0126_part_01_with_company.parquet::10325,56941-84,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Valtra,,valtra,"Araraquara, São Paulo, Brazil",Southern America,Brazil,Sao Paulo,brazil nonmetropolitan area,1.3763434,92856751.0,Valtra Inc Strong Hand Tools,92856751.0,Valtra Inc Strong Hand Tools,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,,,,,,Valtra Inc Strong Hand Tools,Bruxelles,,Brazil,,valtra,valtra,http://linkedin.com/company/valtra,,Brazil,,Brazil,,Goshme Solucoes Para a Internet,GoshMe,Goshme Solucoes Para a Internet Ltd,,individual_position_0126_part_01_with_company.parquet
26,individual_position_0126_part_01_with_company.parquet::10341,57218-41,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,scuola primaria,,scuola primaria,"Genoa, Liguria, Italy",Southern Europe,Italy,Liguria,genoa metropolitan area,1.4633137,6085724.0,Scuola Primaria,6085724.0,Scuola Primaria,25-2032.00,"Career/Technical Education Teachers, Secondary School",,,,,,Scuola Primaria,,,Italy,,scuola primaria,scuola primaria,http://linkedin.com/company/scuola-primaria,,Italy,Milan,Italy,,Samares,,Samares SpA,,individual_position_0126_part_01_with_company.parquet
27,individual_position_0126_part_01_with_company.parquet::10342,434229-31,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Consultorio odontologico,,consultorio odontologico,Argentina,Southern America,Argentina,empty,argentina nonmetropolitan area,1.4837216,2896348.0,Consultorio Odontologico,2896348.0,Consultorio Odontologico,43-6012.00,Legal Secretaries and Administrative Assistants,,,,,,Consultorio Odontologico,,,Argentina,,consultorio odontologico,consultorio odontologico,http://linkedin.com/company/consultorio-odontologico,,Argentina,,Argentina,,Fecundis,,,,individual_position_0126_part_01_with_company.parquet
28,individual_position_0126_part_01_with_company.parquet::1035,57745-81,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Overtime Sports Bar,linkedin.com/company/overtime-sports-bar-&-grill,overtime sports bar,"1920 Ward Ave. La Crosse, WI 54601",Northern America,United States,Wisconsin,wisconsin nonmetropolitan area,1.2988014,16418775.0,Overtime Sports Bar And Grill,16418775.0,Overtime Sports Bar And Grill,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",,,,,,Overtime Sports Bar And Grill,"Rochester, New York",,United States,WI,overtime sports bar,overtime sports bar,http://linkedin.com/company/overtime-sports-bar-&-grill,,United States,Wisconsin,United States,WI,Quter,,"Quter, Inc.",,individual_position_0126_part_01_with_company.parquet
29,individual_position_0126_part_01_with_company.parquet::10350,432546-49,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Hillary,linkedin.com/company/hillary,hillary,"Durban, KwaZulu-Natal, South Africa",Sub-Saharan Africa,South Africa,KwaZulu-Natal,durban metropolitan area,1.853282,93247273.0,Hillary (93247273),93247273.0,Hillary (93247273),,,,,,,,Hillary (93247273),London,,South Africa,,hillary,hillary,http://linkedin.com/company/hillary,,South Africa,,South Africa,,Goldengram,,,,individual_position_0126_part_01_with_company.parquet
30,individual_position_0126_part_01_with_company.parquet::10362,182696-50,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,SAIL Plein Air / SAIL Outdoors,,sail plein air sail outdoors,"Montreal, QC",Northern America,Canada,Quebec,montreal metropolitan area,1.0963467,937115.0,"Sail Plein Air, Inc.",22213288.0,"9033-2719 Quebec, Inc.",13-1021.00,"Buyers and Purchasing Agents, Farm Products",,,,458110,Clothing and Clothing Accessories Retailers,"Sail Plein Air, Inc.","Laval, Quebec",,Canada,,sail plein air sail outdoors,sail plein air sail outdoors,http://linkedin.com/company/sailpleinairoutdoors,sail.ca,Canada,Quebec,Canada,,SAIL Outdoors,SAIL,"SAIL Outdoors, Inc.",,individual_position_0126_part_01_with_company.parquet
31,individual_position_0126_part_01_with_company.parquet::10364,62325-82,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,Timm - Deutsche Fernsehwerke GmbH,linkedin.com/company/timm---deutsche-fernsehwerke-gmbh,timm deutsche fernsehwerke gmbh,Berlin Metropolitan Area,Western Europe,Germany,Berlin,berlin metropolitan area,1.0978444,6745552.0,DFW Deutsche Fernsehwerke GmbH,6745552.0,DFW Deutsche Fernsehwerke GmbH,27-3043.05,"Poets, Lyricists and Creative Writers",,,,517810,All Other Telecommunications,DFW Deutsche Fernsehwerke GmbH,Berlin,,Germany,,timm deutsche fernsehwerke gmbh,timm deutsche fernsehwerke,http://linkedin.com/company/timm---deutsche-fernsehwerke-gmbh,deutschefernsehwerke.de,Germany,,Germany,,Deutsche Fernsehwerke,,Deutsche Fernsehwerke GmbH,,individual_position_0126_part_01_with_company.parquet
32,individual_position_0126_part_01_with_company.parquet::10390,10869-67,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Adrem Engineering,linkedin.com/company/adrem-automation,adrem engineering,"Bucharest, Bucharest, Romania",Eastern Europe,Romania,Bucuresti,bucharest metropolitan area,1.0553157,1827958.0,Adrem Engineering,1827958.0,Adrem Engineering,11-2022.00,Sales Managers,,,,,,Adrem Engineering,,,Romania,,adrem engineering,adrem engineering,http://linkedin.com/company/adrem-automation,,Romania,,Romania,,Artima,Artima Retail Investment Company,Artima Retail Investment Company S.A.,,individual_position_0126_part_01_with_company.parquet
33,individual_position_0126_part_01_with_company.parquet::10391,57592-81,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Marshalls Department Store,linkedin.com/company/marshalls-department-store,marshalls department store,"Waukegan, Illinois, United States",Northern America,United States,Illinois,chicago metropolitan area,1.1722733,4853566.0,Marshalls Department Store,4853566.0,Marshalls Department Store,41-2011.00,Cashiers,,,,,,Marshalls Department Store,"Staten Island, New York",,United States,IL,marshalls department store,marshalls department store,http://linkedin.com/company/marshalls-department-store,,United States,Illinois,United States,IL,Social Infrastructure Partners West Florida,,"Social Infrastructure Partners West Florida, LLC",,individual_position_0126_part_01_with_company.parquet
34,individual_position_0126_part_01_with_company.parquet::10400,100577-26,,linkedin,100.0,individual_position_0126_part_01_with_company.parquet,1,HERRENFAHRT,linkedin.com/company/herrenfahrt,herrenfahrt,Deutschland,Western Europe,Germany,empty,germany nonmetropolitan area,1.2310156,962676.0,Carrus Cultus GmbH,962676.0,Carrus Cultus GmbH,27-1011.00,Art Directors,,,,441330,Automotive Parts and Accessories Retailers,Carrus Cultus GmbH,"Mannheim, Baden-Württemberg",,Germany,,herrenfahrt,herrenfahrt,http://linkedin.com/company/herrenfahrt,herrenfahrt.com,Germany,,Germany,,Herrenfahrt,,Carrus Cultus GmbH.,,individual_position_0126_part_01_with_company.parquet
35,individual_position_0126_part_01_with_company.parquet::10402,54597-61,51411.0,fuzzy,71.42857142857143,individual_position_0126_part_01_with_company.parquet,3,Telefonica,linkedin.com/company/telefonica,telefonica,"Valencia, España",Southern Europe,Spain,Valencia,valencia metropolitan area,1.3690166,745975.0,Telefónica SA,745975.0,Telefónica SA,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,TEF,Spanish Markets,879382109,517112,Wireless Telecommunications Carriers (except Satellite),Telefónica SA,Madrid,13683,Spain,,telefonica,telefonica,http://linkedin.com/company/telefonica,telefonica.com,Spain,,Spain,,Telefonica Moviles,Movistar,"Telefonica Moviles, S.A.",,individual_position_0126_part_01_with_company.parquet
36,individual_position_0126_part_01_with_company.parquet::10413,100621-27,52984.0,fuzzy,77.77777777777779,individual_position_0126_part_01_with_company.parquet,3,China Railway Group Limited,linkedin.com/company/china-railway-group-limited,china railway group limited,"Nanjing, Jiangsu, China",Eastern Asia,China,Jiangsu,nanjing metropolitan area,1.0709661,202425.0,China Railway Group Ltd.,74001.0,Government of China,13-2082.00,Tax Preparers,390,Hong Kong Stock Exchange,Y1509D116,237990,Other Heavy and Civil Engineering Construction,China Railway Group Ltd.,Beijing,287311,China,,china railway group limited,china railway group,http://linkedin.com/company/china-railway-group-limited,crec.cn,China,,China,,China Risun Group,Risun,"China Xuyang Group Co., Ltd.",Xingtai Risun Coking,individual_position_0126_part_01_with_company.parquet
37,individual_position_0126_part_01_with_company.parquet::10431,56830-78,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Business Manager,,business manager,"St Charles, Missouri, United States

            Contact Info",Northern America,United States,Missouri,st louis metropolitan area,1.0476674,2512643.0,Business Manager,2512643.0,Business Manager,11-3031.01,Treasurers and Controllers,,,,,,Business Manager,"Calgary, AB",,United States,MO,business manager,business manager,http://linkedin.com/company/business-manager,,United States,Missouri,United States,MO,Kinetek Systems,,Kinetek Systems Inc.,,individual_position_0126_part_01_with_company.parquet
38,individual_position_0126_part_01_with_company.parquet::10442,56999-98,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,ARNOTT'S BISCUITS AUSTRALIA,linkedin.com/company/arnott's-biscuits-australia,arnott s biscuits australia,Greater Brisbane Area,Pacific Islands,Australia,Queensland,brisbane metropolitan area,1.4666055,2087695.0,Arnotts Biscuits Australia,2087695.0,Arnotts Biscuits Australia,11-3013.00,Facilities Managers,,,,,,Arnotts Biscuits Australia,LONDON,,Australia,,arnott s biscuits australia,arnott s biscuits australia,http://linkedin.com/company/arnott's-biscuits-australia,,Australia,,Australia,,Filoukes,,,,individual_position_0126_part_01_with_company.parquet
39,individual_position_0126_part_01_with_company.parquet::10444,56999-98,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Chisel fitness,,chisel fitness,Greater Sydney Area,Pacific Islands,Australia,New South Wales,sydney metropolitan area,1.1766567,2720119.0,Chisel Fitness (2720119),2720119.0,Chisel Fitness (2720119),39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",,,,,,Chisel Fitness (2720119),,,Australia,,chisel fitness,chisel fitness,http://linkedin.com/company/chiselfitness,,Australia,,Australia,,Filoukes,,,,individual_position_0126_part_01_with_company.parquet
40,individual_position_0126_part_01_with_company.parquet::10463,56999-98,,website,100.0,individual_position_0126_part_01_with_company.parquet,2,Prestige Cleaning,linkedin.com/company/prestige-cleaning,prestige cleaning,Melbourne,Pacific Islands,Australia,Victoria,melbourne metropolitan area,1.7840937,16947648.0,Prestige Cleaning (16947648),16947648.0,Prestige Cleaning (16947648),37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",,,,,,Prestige Cleaning (16947648),,,Australia,,prestige cleaning,prestige cleaning,http://linkedin.com/company/prestige-cleaning,,Australia,,Australia,,Filoukes,,,,individual_position_0126_part_01_with_company.parquet
